"grupo","especie","familia","ordem","categoria","lista_anterior"
"Fauna","Charinus acaraje","Charinidae","Amblypygi","VU","nao"
"Fauna","Charinus asturius","Charinidae","Amblypygi","EN","nao"
"Fauna","Charinus caatingae","Charinidae","Amblypygi","CR","nao"
"Fauna","Charinus eleonorae","Charinidae","Amblypygi","EN","nao"
"Fauna","Charinus ferreus","Charinidae","Amblypygi","CR","nao"
"Fauna","Charinus potiguar","Charinidae","Amblypygi","VU","nao"
"Fauna","Charinus spelaeus","Charinidae","Amblypygi","VU","nao"
"Fauna","Charinus taboa","Charinidae","Amblypygi","CR","nao"
"Fauna","Charinus troglobius","Charinidae","Amblypygi","EN","nao"
"Fauna","Carajas paraua","Caponiidae","Araneae","EN","nao"
"Fauna","Tisentnops onix","Caponiidae","Araneae","CR","nao"
"Fauna","Ianduba paubrasil","Corinnidae","Araneae","EN","nao"
"Fauna","Celaetycheus mungunza","Ctenidae","Araneae","CR","nao"
"Fauna","Isoctenus corymbus","Ctenidae","Araneae","CR","nao"
"Fauna","Harmonicon cerberus","Dipluridae","Araneae","CR","nao"
"Fauna","Drymusa spelunca","Drymusidae","Araneae","CR","nao"
"Fauna","Brasilomma enigmatica","Gnaphosidae","Araneae","EN","nao"
"Fauna","Tricongius ybyguara","Gnaphosidae","Araneae","VU","nao"
"Fauna","Ochyrocera ibitipoca","Ochyroceratidae","Araneae","EN","nao"
"Fauna","Speocera eleonorae","Ochyroceratidae","Araneae","EN","nao"
"Fauna","Metagonia diamantina","Pholcidae","Araneae","CR","nao"
"Fauna","Metagonia potiguar","Pholcidae","Araneae","CR","nao"
"Fauna","Matagaia chromatopus","Salticidae","Araneae","VU","nao"
"Fauna","Neonella noronha","Salticidae","Araneae","VU","nao"
"Fauna","Ariadna aurea","Segestriidae","Araneae","VU","nao"
"Fauna","Loxosceles troglobia","Sicariidae","Araneae","VU","nao"
"Fauna","Dolichothele diamantinensis","Theraphosidae","Araneae","EN","nao"
"Fauna","Pterinopelma sazimai","Theraphosidae","Araneae","VU","nao"
"Fauna","Tmesiphantes hypogeus","Theraphosidae","Araneae","CR","nao"
"Fauna","Typhochlaena curumim","Theraphosidae","Araneae","CR","nao"
"Fauna","Typhochlaena seladonia","Theraphosidae","Araneae","EN","nao"
"Fauna","Ybyrapora diversipes","Theraphosidae","Araneae","EN","nao"
"Fauna","Ybyrapora gamba","Theraphosidae","Araneae","CR","nao"
"Fauna","Litoblatta camargoi","Blattellidae","Blattodea","EN","nao"
"Fauna","Pomacea sordida","Ampullariidae","Caenogastropoda","EN","nao"
"Fauna","Potamolithus karsticus","Hydrobiidae","Caenogastropoda","CR","nao"
"Fauna","Coarazuphium amazonicus","Carabidae","Coleoptera","CR","nao"
"Fauna","Coarazuphium caatinga","Carabidae","Coleoptera","EN","nao"
"Fauna","Coarazuphium cessaima","Carabidae","Coleoptera","EN","nao"
"Fauna","Coarazuphium formoso","Carabidae","Coleoptera","CR","nao"
"Fauna","Coarazuphium pains","Carabidae","Coleoptera","EN","nao"
"Fauna","Coarazuphium ricardoi","Carabidae","Coleoptera","CR","nao"
"Fauna","Coarazuphium spinifemur","Carabidae","Coleoptera","CR","nao"
"Fauna","Coarazuphium tapiaguassu","Carabidae","Coleoptera","EN","nao"
"Fauna","Coarazuphium tessai","Carabidae","Coleoptera","CR","nao"
"Fauna","Schizogenius ocellatus","Carabidae","Coleoptera","EN","nao"
"Fauna","Ceracis cassumbensis","Ciidae","Coleoptera","EN","nao"
"Fauna","Amydetes bellorum","Lampyridae","Coleoptera","EN","nao"
"Fauna","Altitatiayus campoi","Lucanidae","Coleoptera","VU","nao"
"Fauna","Altitatiayus dulceae","Lucanidae","Coleoptera","VU","nao"
"Fauna","Altitatiayus godinhorum","Lucanidae","Coleoptera","VU","nao"
"Fauna","Altitatiayus koikei","Lucanidae","Coleoptera","VU","nao"
"Fauna","Altitatiayus rotundatus","Lucanidae","Coleoptera","VU","nao"
"Fauna","Altitatiayus ruficollis","Lucanidae","Coleoptera","VU","nao"
"Fauna","Altitatiayus trifurcatus","Lucanidae","Coleoptera","VU","nao"
"Fauna","Cartagonum apiuba","Lycidae","Coleoptera","CR","nao"
"Fauna","Lycomorphon brasiliense","Lycidae","Coleoptera","CR","nao"
"Fauna","Ateuchus squalidus","Scarabaeidae","Coleoptera","VU","nao"
"Fauna","Canthon corpulentus","Scarabaeidae","Coleoptera","VU","nao"
