"componente","grupo","familia","ordem","especie","categoria_portaria148","lista_anterior"
"Fauna","Invertebrados terrestres","Charinidae","Amblypygi","Charinus acaraje","VU","sim"
"Fauna","Invertebrados terrestres","Charinidae","Amblypygi","Charinus asturius","EN","sim"
"Fauna","Invertebrados terrestres","Charinidae","Amblypygi","Charinus caatingae","CR","nao"
"Fauna","Invertebrados terrestres","Charinidae","Amblypygi","Charinus eleonorae","EN","sim"
"Fauna","Invertebrados terrestres","Charinidae","Amblypygi","Charinus ferreus","CR","nao"
"Fauna","Invertebrados terrestres","Charinidae","Amblypygi","Charinus potiguar","VU","sim"
"Fauna","Invertebrados terrestres","Charinidae","Amblypygi","Charinus spelaeus","VU","nao"
"Fauna","Invertebrados terrestres","Charinidae","Amblypygi","Charinus taboa","CR","nao"
"Fauna","Invertebrados terrestres","Charinidae","Amblypygi","Charinus troglobius","EN","sim"
"Fauna","Invertebrados terrestres","Caponiidae","Araneae","Carajas paraua","EN","nao"
"Fauna","Invertebrados terrestres","Caponiidae","Araneae","Tisentnops onix","CR","nao"
"Fauna","Invertebrados terrestres","Corinnidae","Araneae","Ianduba paubrasil","EN","sim"
"Fauna","Invertebrados terrestres","Ctenidae","Araneae","Celaetycheus mungunza","CR","sim"
"Fauna","Invertebrados terrestres","Ctenidae","Araneae","Isoctenus corymbus","CR","sim"
"Fauna","Invertebrados terrestres","Dipluridae","Araneae","Harmonicon cerberus","CR","sim"
"Fauna","Invertebrados terrestres","Drymusidae","Araneae","Drymusa spelunca","CR","sim"
"Fauna","Invertebrados terrestres","Gnaphosidae","Araneae","Brasilomma enigmatica","EN","sim"
"Fauna","Invertebrados terrestres","Gnaphosidae","Araneae","Tricongius ybyguara","VU","sim"
"Fauna","Invertebrados terrestres","Ochyroceratidae","Araneae","Ochyrocera ibitipoca","EN","sim"
"Fauna","Invertebrados terrestres","Ochyroceratidae","Araneae","Speocera eleonorae","EN","sim"
"Fauna","Invertebrados terrestres","Pholcidae","Araneae","Metagonia diamantina","CR","sim"
"Fauna","Invertebrados terrestres","Pholcidae","Araneae","Metagonia potiguar","CR","sim"
"Fauna","Invertebrados terrestres","Salticidae","Araneae","Matagaia chromatopus","VU","sim"
"Fauna","Invertebrados terrestres","Salticidae","Araneae","Neonella noronha","VU","sim"
"Fauna","Invertebrados terrestres","Segestriidae","Araneae","Ariadna aurea","VU","nao"
"Fauna","Invertebrados terrestres","Sicariidae","Araneae","Loxosceles troglobia","VU","nao"
"Fauna","Invertebrados terrestres","Theraphosidae","Araneae","Dolichothele diamantinensis","EN","sim"
"Fauna","Invertebrados terrestres","Theraphosidae","Araneae","Pterinopelma sazimai","VU","sim"
"Fauna","Invertebrados terrestres","Theraphosidae","Araneae","Tmesiphantes hypogeus","CR","sim"
"Fauna","Invertebrados terrestres","Theraphosidae","Araneae","Typhochlaena curumim","CR","sim"
"Fauna","Invertebrados terrestres","Theraphosidae","Araneae","Typhochlaena seladonia","EN","sim"
"Fauna","Invertebrados terrestres","Theraphosidae","Araneae","Ybyrapora diversipes","EN","sim"
"Fauna","Invertebrados terrestres","Theraphosidae","Araneae","Ybyrapora gamba","CR","sim"
"Fauna","Invertebrados terrestres","Blattellidae","Blattodea","Litoblatta camargoi","EN","nao"
"Fauna","Invertebrados terrestres","Ampullariidae","Caenogastropoda","Pomacea sordida","EN","sim"
"Fauna","Invertebrados terrestres","Hydrobiidae","Caenogastropoda","Potamolithus karsticus","CR","sim"
"Fauna","Invertebrados terrestres","Carabidae","Coleoptera","Coarazuphium amazonicus","CR","nao"
"Fauna","Invertebrados terrestres","Carabidae","Coleoptera","Coarazuphium caatinga","EN","sim"
"Fauna","Invertebrados terrestres","Carabidae","Coleoptera","Coarazuphium cessaima","EN","sim"
"Fauna","Invertebrados terrestres","Carabidae","Coleoptera","Coarazuphium formoso","CR","sim"
"Fauna","Invertebrados terrestres","Carabidae","Coleoptera","Coarazuphium pains","EN","sim"
"Fauna","Invertebrados terrestres","Carabidae","Coleoptera","Coarazuphium ricardoi","CR","sim"
"Fauna","Invertebrados terrestres","Carabidae","Coleoptera","Coarazuphium spinifemur","CR","nao"
"Fauna","Invertebrados terrestres","Carabidae","Coleoptera","Coarazuphium tapiaguassu","EN","sim"
"Fauna","Invertebrados terrestres","Carabidae","Coleoptera","Coarazuphium tessai","CR","sim"
"Fauna","Invertebrados terrestres","Carabidae","Coleoptera","Schizogenius ocellatus","EN","sim"
"Fauna","Invertebrados terrestres","Ciidae","Coleoptera","Ceracis cassumbensis","EN","sim"
"Fauna","Invertebrados terrestres","Lampyridae","Coleoptera","Amydetes bellorum","EN","sim"
"Fauna","Invertebrados terrestres","Lucanidae","Coleoptera","Altitatiayus campoi","VU","sim"
"Fauna","Invertebrados terrestres","Lucanidae","Coleoptera","Altitatiayus dulceae","VU","sim"
"Fauna","Invertebrados terrestres","Lucanidae","Coleoptera","Altitatiayus godinhorum","VU","sim"
"Fauna","Invertebrados terrestres","Lucanidae","Coleoptera","Altitatiayus koikei","VU","sim"
"Fauna","Invertebrados terrestres","Lucanidae","Coleoptera","Altitatiayus rotundatus","VU","sim"
"Fauna","Invertebrados terrestres","Lucanidae","Coleoptera","Altitatiayus ruficollis","VU","sim"
"Fauna","Invertebrados terrestres","Lucanidae","Coleoptera","Altitatiayus trifurcatus","VU","sim"
"Fauna","Invertebrados terrestres","Lycidae","Coleoptera","Cartagonum apiuba","CR","sim"
"Fauna","Invertebrados terrestres","Lycidae","Coleoptera","Lycomorphon brasiliense","CR","sim"
"Fauna","Invertebrados terrestres","Scarabaeidae","Coleoptera","Ateuchus squalidus","VU","sim"
"Fauna","Invertebrados terrestres","Scarabaeidae","Coleoptera","Canthon corpulentus","VU","sim"
