"ID","lista_anterior","ordem","familia","especie","categoria"
1,"sim","Amblypygi","Charinidae","Charinus acaraje","VU"
2,"sim","Amblypygi","Charinidae","Charinus asturius","EN"
3,"nao","Amblypygi","Charinidae","Charinus caatingae","CR"
4,"sim","Amblypygi","Charinidae","Charinus eleonorae","EN"
5,"nao","Amblypygi","Charinidae","Charinus ferreus","CR"
6,"sim","Amblypygi","Charinidae","Charinus potiguar","VU"
7,"nao","Amblypygi","Charinidae","Charinus spelaeus","VU"
8,"nao","Amblypygi","Charinidae","Charinus taboa","CR"
9,"sim","Amblypygi","Charinidae","Charinus troglobius","EN"
10,"nao","Araneae","Caponiidae","Carajas paraua","EN"
11,"nao","Araneae","Caponiidae","Tisentnops onix","CR"
12,"sim","Araneae","Corinnidae","Ianduba paubrasil","EN"
13,"sim","Araneae","Ctenidae","Celaetycheus mungunza","CR"
14,"sim","Araneae","Ctenidae","Isoctenus corymbus","CR"
15,"sim","Araneae","Dipluridae","Harmonicon cerberus","CR"
16,"sim","Araneae","Drymusidae","Drymusa spelunca","CR"
17,"sim","Araneae","Gnaphosidae","Brasilomma enigmatica","EN"
18,"sim","Araneae","Gnaphosidae","Tricongius ybyguara","VU"
19,"sim","Araneae","Ochyroceratidae","Ochyrocera ibitipoca","EN"
20,"sim","Araneae","Ochyroceratidae","Speocera eleonorae","EN"
21,"sim","Araneae","Pholcidae","Metagonia diamantina","CR"
22,"sim","Araneae","Pholcidae","Metagonia potiguar","CR"
23,"sim","Araneae","Salticidae","Matagaia chromatopus","VU"
24,"sim","Araneae","Salticidae","Neonella noronha","VU"
25,"nao","Araneae","Segestriidae","Ariadna aurea","VU"
26,"nao","Araneae","Sicariidae","Loxosceles troglobia","VU"
27,"sim","Araneae","Theraphosidae","Dolichothele diamantinensis","EN"
28,"sim","Araneae","Theraphosidae","Pterinopelma sazimai","VU"
29,"sim","Araneae","Theraphosidae","Tmesiphantes hypogeus","CR"
30,"sim","Araneae","Theraphosidae","Typhochlaena curumim","CR"
31,"sim","Araneae","Theraphosidae","Typhochlaena seladonia","EN"
32,"sim","Araneae","Theraphosidae","Ybyrapora diversipes","EN"
33,"sim","Araneae","Theraphosidae","Ybyrapora gamba","CR"
34,"nao","Blattodea","Blattellidae","Litoblatta camargoi","EN"
35,"sim","Caenogastropoda","Ampullariidae","Pomacea sordida","EN"
36,"sim","Caenogastropoda","Hydrobiidae","Potamolithus karsticus","CR"
37,"nao","Coleoptera","Carabidae","Coarazuphium amazonicus","CR"
38,"sim","Coleoptera","Carabidae","Coarazuphium caatinga","EN"
39,"sim","Coleoptera","Carabidae","Coarazuphium cessaima","EN"
40,"sim","Coleoptera","Carabidae","Coarazuphium formoso","CR"
41,"sim","Coleoptera","Carabidae","Coarazuphium pains","EN"
42,"sim","Coleoptera","Carabidae","Coarazuphium ricardoi","CR"
43,"nao","Coleoptera","Carabidae","Coarazuphium spinifemur","CR"
44,"sim","Coleoptera","Carabidae","Coarazuphium tapiaguassu","EN"
45,"sim","Coleoptera","Carabidae","Coarazuphium tessai","CR"
46,"sim","Coleoptera","Carabidae","Schizogenius ocellatus","EN"
47,"sim","Coleoptera","Ciidae","Ceracis cassumbensis","EN"
48,"sim","Coleoptera","Lampyridae","Amydetes bellorum","EN"
49,"sim","Coleoptera","Lucanidae","Altitatiayus campoi","VU"
50,"sim","Coleoptera","Lucanidae","Altitatiayus dulceae","VU"
51,"sim","Coleoptera","Lucanidae","Altitatiayus godinhorum","VU"
52,"sim","Coleoptera","Lucanidae","Altitatiayus koikei","VU"
53,"sim","Coleoptera","Lucanidae","Altitatiayus rotundatus","VU"
54,"sim","Coleoptera","Lucanidae","Altitatiayus ruficollis","VU"
55,"sim","Coleoptera","Lucanidae","Altitatiayus trifurcatus","VU"
56,"sim","Coleoptera","Lycidae","Cartagonum apiuba","CR"
57,"sim","Coleoptera","Lycidae","Lycomorphon brasiliense","CR"
58,"sim","Coleoptera","Scarabaeidae","Ateuchus squalidus","VU"
59,"sim","Coleoptera","Scarabaeidae","Canthon corpulentus","VU"
60,"sim","Coleoptera","Scarabaeidae","Canthon quadripunctatus","VU"
61,"sim","Coleoptera","Scarabaeidae","Dichotomius eucranioides","EN"
62,"sim","Coleoptera","Scarabaeidae","Dichotomius mysticus","EN"
63,"sim","Coleoptera","Scarabaeidae","Dichotomius schiffleri","EN"
64,"sim","Coleoptera","Scarabaeidae","Pedaridium hirsutum","VU"
65,"nao","Coleoptera","Staphylinidae","Metopiellus painensis","EN"
66,"sim","Coleoptera","Vesperidae","Hypocephalus armatus","VU"
67,"sim","Collembola","Arrhopalitidae","Arrhopalites amorimi","VU"
68,"nao","Collembola","Arrhopalitidae","Arrhopalites glabrofasciatus","EN"
69,"nao","Collembola","Entomobryidae","Pseudosinella ambigua","VU"
70,"nao","Collembola","Entomobryidae","Pseudosinella guanhaensis","CR"
71,"nao","Collembola","Isotomidae","Archisotoma arariboia","CR"
72,"sim","Collembola","Paronellidae","Troglobius brasiliensis","CR"
73,"sim","Collembola","Paronellidae","Troglobius ferroicus","CR"
74,"sim","Collembola","Paronellidae","Trogolaphysa aelleni","CR"
75,"sim","Collembola","Sminthuridae","Pararrhopalites papaveroi","EN"
76,"nao","Collembola","Sminthuridae","Pararrhopalites sideroicus","CR"
77,"nao","Collembola","Sminthuridae","Pararrhopalites ubiquum","VU"
78,"sim","Collembola","Sminthuridae","Pararrhopalites wallacei","CR"
79,"nao","Diplura","Campodeidae","Oncinocampa trajanoae","CR"
80,"nao","Entomobryomorpha","Entomobryidae","Seira arenicola","EN"
81,"nao","Entomobryomorpha","Entomobryidae","Seira mataraquensis","EN"
82,"nao","Entomobryomorpha","Entomobryidae","Seira musarum","VU"
83,"nao","Entomobryomorpha","Entomobryidae","Seira pseudoannulata","EN"
84,"nao","Entomobryomorpha","Isotomidae","Archisotoma catiae","CR"
85,"nao","Entomobryomorpha","Isotomidae","Arlea arenicola","CR"
86,"nao","Entomobryomorpha","Isotomidae","Arlea psammophila","CR"
87,"sim","Entomobryomorpha","Isotomidae","Isotomiella uai","VU"
88,"nao","Entomobryomorpha","Isotomidae","Isotomodes cariocus","CR"
89,"nao","Entomobryomorpha","Isotomidae","Isotomurus riparius","CR"
90,"nao","Entomobryomorpha","Isotomidae","Paracerura gandarela","VU"
91,"nao","Entomobryomorpha","Isotomidae","Psammisotoma restingae","CR"
92,"sim","Euonychophora","Peripatidae","Epiperipatus adenocryptus","CR"
93,"sim","Euonychophora","Peripatidae","Epiperipatus diadenoproctus","VU"
94,"sim","Euonychophora","Peripatidae","Epiperipatus ohausi","EN"
95,"sim","Euonychophora","Peripatidae","Epiperipatus paurognostus","CR"
96,"sim","Glomeridesmida","Glomerodesmidae","Glomeridesmus spelaeus","EN"
97,"sim","Gymnomorpha","Veronicellidae","Phyllocaulis renschi","CR"
98,"sim","Haplotaxida","Glossoscolecidae","Fimoscolex sporadochaetus","EN"
99,"nao","Hemiptera","Cixiidae","Ferricixius davidi","CR"
100,"nao","Hemiptera","Kinnaridae","Iuiuia caeca","VU"
101,"nao","Hemiptera","Kinnaridae","Kinnapotiguara troglobia","VU"
102,"sim","Hymenoptera","Andrenidae","Arhysosage cactorum","VU"
103,"sim","Hymenoptera","Apidae","Melipona capixaba","EN"
104,"sim","Hymenoptera","Apidae","Melipona rufiventris","EN"
105,"sim","Hymenoptera","Apidae","Melipona scutellaris","EN"
106,"sim","Hymenoptera","Apidae","Partamona littoralis","EN"
107,"sim","Hymenoptera","Formicidae","Atta robusta","VU"
108,"sim","Hymenoptera","Formicidae","Brachymyrmex micromegas","VU"
109,"sim","Hymenoptera","Formicidae","Diaphoromyrma sofiae","EN"
110,"sim","Hymenoptera","Formicidae","Dinoponera lucida","EN"
111,"sim","Hymenoptera","Formicidae","Fulakora cleae","CR"
