"ID","lista_anterior","ordem","familia","especie","categoria","componente","grupo"
1,"sim","Amblypygi","Charinidae","Charinus acaraje","VU","Fauna","Invertebrados terrestres"
2,"sim","Amblypygi","Charinidae","Charinus asturius","EN","Fauna","Invertebrados terrestres"
3,"nao","Amblypygi","Charinidae","Charinus caatingae","CR","Fauna","Invertebrados terrestres"
4,"sim","Amblypygi","Charinidae","Charinus eleonorae","EN","Fauna","Invertebrados terrestres"
5,"nao","Amblypygi","Charinidae","Charinus ferreus","CR","Fauna","Invertebrados terrestres"
6,"sim","Amblypygi","Charinidae","Charinus potiguar","VU","Fauna","Invertebrados terrestres"
7,"nao","Amblypygi","Charinidae","Charinus spelaeus","VU","Fauna","Invertebrados terrestres"
8,"nao","Amblypygi","Charinidae","Charinus taboa","CR","Fauna","Invertebrados terrestres"
9,"sim","Amblypygi","Charinidae","Charinus troglobius","EN","Fauna","Invertebrados terrestres"
10,"nao","Araneae","Caponiidae","Carajas paraua","EN","Fauna","Invertebrados terrestres"
11,"nao","Araneae","Caponiidae","Tisentnops onix","CR","Fauna","Invertebrados terrestres"
12,"sim","Araneae","Corinnidae","Ianduba paubrasil","EN","Fauna","Invertebrados terrestres"
13,"sim","Araneae","Ctenidae","Celaetycheus mungunza","CR","Fauna","Invertebrados terrestres"
14,"sim","Araneae","Ctenidae","Isoctenus corymbus","CR","Fauna","Invertebrados terrestres"
15,"sim","Araneae","Dipluridae","Harmonicon cerberus","CR","Fauna","Invertebrados terrestres"
16,"sim","Araneae","Drymusidae","Drymusa spelunca","CR","Fauna","Invertebrados terrestres"
17,"sim","Araneae","Gnaphosidae","Brasilomma enigmatica","EN","Fauna","Invertebrados terrestres"
18,"sim","Araneae","Gnaphosidae","Tricongius ybyguara","VU","Fauna","Invertebrados terrestres"
19,"sim","Araneae","Ochyroceratidae","Ochyrocera ibitipoca","EN","Fauna","Invertebrados terrestres"
20,"sim","Araneae","Ochyroceratidae","Speocera eleonorae","EN","Fauna","Invertebrados terrestres"
21,"sim","Araneae","Pholcidae","Metagonia diamantina","CR","Fauna","Invertebrados terrestres"
22,"sim","Araneae","Pholcidae","Metagonia potiguar","CR","Fauna","Invertebrados terrestres"
23,"sim","Araneae","Salticidae","Matagaia chromatopus","VU","Fauna","Invertebrados terrestres"
24,"sim","Araneae","Salticidae","Neonella noronha","VU","Fauna","Invertebrados terrestres"
25,"nao","Araneae","Segestriidae","Ariadna aurea","VU","Fauna","Invertebrados terrestres"
26,"nao","Araneae","Sicariidae","Loxosceles troglobia","VU","Fauna","Invertebrados terrestres"
27,"sim","Araneae","Theraphosidae","Dolichothele diamantinensis","EN","Fauna","Invertebrados terrestres"
28,"sim","Araneae","Theraphosidae","Pterinopelma sazimai","VU","Fauna","Invertebrados terrestres"
29,"sim","Araneae","Theraphosidae","Tmesiphantes hypogeus","CR","Fauna","Invertebrados terrestres"
30,"sim","Araneae","Theraphosidae","Typhochlaena curumim","CR","Fauna","Invertebrados terrestres"
31,"sim","Araneae","Theraphosidae","Typhochlaena seladonia","EN","Fauna","Invertebrados terrestres"
32,"sim","Araneae","Theraphosidae","Ybyrapora diversipes","EN","Fauna","Invertebrados terrestres"
33,"sim","Araneae","Theraphosidae","Ybyrapora gamba","CR","Fauna","Invertebrados terrestres"
34,"nao","Blattodea","Blattellidae","Litoblatta camargoi","EN","Fauna","Invertebrados terrestres"
35,"sim","Caenogastropoda","Ampullariidae","Pomacea sordida","EN","Fauna","Invertebrados terrestres"
36,"sim","Caenogastropoda","Hydrobiidae","Potamolithus karsticus","CR","Fauna","Invertebrados terrestres"
37,"nao","Coleoptera","Carabidae","Coarazuphium amazonicus","CR","Fauna","Invertebrados terrestres"
38,"sim","Coleoptera","Carabidae","Coarazuphium caatinga","EN","Fauna","Invertebrados terrestres"
39,"sim","Coleoptera","Carabidae","Coarazuphium cessaima","EN","Fauna","Invertebrados terrestres"
40,"sim","Coleoptera","Carabidae","Coarazuphium formoso","CR","Fauna","Invertebrados terrestres"
41,"sim","Coleoptera","Carabidae","Coarazuphium pains","EN","Fauna","Invertebrados terrestres"
42,"sim","Coleoptera","Carabidae","Coarazuphium ricardoi","CR","Fauna","Invertebrados terrestres"
43,"nao","Coleoptera","Carabidae","Coarazuphium spinifemur","CR","Fauna","Invertebrados terrestres"
44,"sim","Coleoptera","Carabidae","Coarazuphium tapiaguassu","EN","Fauna","Invertebrados terrestres"
45,"sim","Coleoptera","Carabidae","Coarazuphium tessai","CR","Fauna","Invertebrados terrestres"
46,"sim","Coleoptera","Carabidae","Schizogenius ocellatus","EN","Fauna","Invertebrados terrestres"
47,"sim","Coleoptera","Ciidae","Ceracis cassumbensis","EN","Fauna","Invertebrados terrestres"
48,"sim","Coleoptera","Lampyridae","Amydetes bellorum","EN","Fauna","Invertebrados terrestres"
49,"sim","Coleoptera","Lucanidae","Altitatiayus campoi","VU","Fauna","Invertebrados terrestres"
50,"sim","Coleoptera","Lucanidae","Altitatiayus dulceae","VU","Fauna","Invertebrados terrestres"
51,"sim","Coleoptera","Lucanidae","Altitatiayus godinhorum","VU","Fauna","Invertebrados terrestres"
52,"sim","Coleoptera","Lucanidae","Altitatiayus koikei","VU","Fauna","Invertebrados terrestres"
53,"sim","Coleoptera","Lucanidae","Altitatiayus rotundatus","VU","Fauna","Invertebrados terrestres"
54,"sim","Coleoptera","Lucanidae","Altitatiayus ruficollis","VU","Fauna","Invertebrados terrestres"
55,"sim","Coleoptera","Lucanidae","Altitatiayus trifurcatus","VU","Fauna","Invertebrados terrestres"
56,"sim","Coleoptera","Lycidae","Cartagonum apiuba","CR","Fauna","Invertebrados terrestres"
57,"sim","Coleoptera","Lycidae","Lycomorphon brasiliense","CR","Fauna","Invertebrados terrestres"
58,"sim","Coleoptera","Scarabaeidae","Ateuchus squalidus","VU","Fauna","Invertebrados terrestres"
59,"sim","Coleoptera","Scarabaeidae","Canthon corpulentus","VU","Fauna","Invertebrados terrestres"
60,"sim","Coleoptera","Scarabaeidae","Canthon quadripunctatus","VU","Fauna","Invertebrados terrestres"
61,"sim","Coleoptera","Scarabaeidae","Dichotomius eucranioides","EN","Fauna","Invertebrados terrestres"
62,"sim","Coleoptera","Scarabaeidae","Dichotomius mysticus","EN","Fauna","Invertebrados terrestres"
63,"sim","Coleoptera","Scarabaeidae","Dichotomius schiffleri","EN","Fauna","Invertebrados terrestres"
64,"sim","Coleoptera","Scarabaeidae","Pedaridium hirsutum","VU","Fauna","Invertebrados terrestres"
65,"nao","Coleoptera","Staphylinidae","Metopiellus painensis","EN","Fauna","Invertebrados terrestres"
