"ID","lista_anterior","familia","especie","categoria"
1,"sim","Acanthaceae","Aphelandra espirito-santensis","EN"
2,"sim","Acanthaceae","Aphelandra margaritae","VU"
3,"sim","Acanthaceae","Aphelandra maximiliana","EN"
4,"nao","Acanthaceae","Aphelandra rigida","EN"
5,"nao","Acanthaceae","Aphelandra stephanophysa","VU"
6,"sim","Acanthaceae","Dyschoriste lavandulacea","EN"
7,"sim","Acanthaceae","Dyschoriste smithii","CR"
8,"sim","Acanthaceae","Justicia clausseniana","EN"
9,"sim","Acanthaceae","Justicia genuflexa","VU"
10,"nao","Acanthaceae","Justicia meyeniana","EN"
11,"nao","Acanthaceae","Justicia nervata","EN"
12,"sim","Acanthaceae","Justicia polita","EN"
13,"sim","Acanthaceae","Justicia ramulosa","VU"
14,"sim","Acanthaceae","Justicia tijucensis","VU"
15,"sim","Acanthaceae","Odontonema dissitiflorum","EN"
16,"sim","Acanthaceae","Pachystachys dubiosa","EN"
17,"sim","Acanthaceae","Schaueria paranaensis","EN"
18,"sim","Acanthaceae","Staurogyne brachiata","EN"
19,"sim","Acanthaceae","Staurogyne elegans","VU"
20,"nao","Acanthaceae","Staurogyne euryphylla","EN"
21,"sim","Acanthaceae","Staurogyne itatiaiae","EN"
22,"sim","Acanthaceae","Staurogyne vauthieriana","EN"
23,"sim","Acanthaceae","Staurogyne veronicifolia","EN"
24,"sim","Acanthaceae","Staurogyne warmingiana","EN"
25,"sim","Acanthaceae","Stenandrium hatschbachii","EN"
26,"sim","Acanthaceae","Stenandrium stenophyllum","EN"
27,"nao","Achariaceae","Kuhlmanniodendron macrocarpum","EN"
28,"sim","Alismataceae","Sagittaria lancifolia","VU"
29,"sim","Alstroemeriaceae","Alstroemeria amabilis","EN"
30,"sim","Alstroemeriaceae","Alstroemeria brasiliensis","EN"
31,"sim","Alstroemeriaceae","Alstroemeria capixaba","CR"
32,"sim","Alstroemeriaceae","Alstroemeria caryophyllaea","EN"
33,"sim","Alstroemeriaceae","Alstroemeria malmeana","CR"
34,"sim","Alstroemeriaceae","Alstroemeria orchidioides","EN"
35,"sim","Alstroemeriaceae","Alstroemeria penduliflora","EN"
36,"sim","Amaranthaceae","Alternanthera hirtula","VU"
37,"sim","Amaranthaceae","Alternanthera januarensis","EN"
38,"sim","Amaranthaceae","Amaranthus rosengurtii","EN"
39,"sim","Amaranthaceae","Froelichiella grisea","EN"
40,"sim","Amaranthaceae","Gomphrena centrota","EN"
41,"sim","Amaranthaceae","Gomphrena hatschbachiana","EN"
42,"sim","Amaranthaceae","Gomphrena nigricans","CR"
43,"sim","Amaranthaceae","Gomphrena paranensis","VU"
44,"sim","Amaranthaceae","Gomphrena pulchella","EN"
45,"sim","Amaranthaceae","Gomphrena regeliana","VU"
46,"sim","Amaranthaceae","Pfaffia argyrea","EN"
47,"sim","Amaranthaceae","Pfaffia minarum","VU"
48,"sim","Amaranthaceae","Quaternella glabratoides","EN"
49,"sim","Amaryllidaceae","Griffinia aracensis","CR"
50,"sim","Amaryllidaceae","Griffinia colatinensis","CR"
51,"sim","Amaryllidaceae","Griffinia espiritensis","EN"
52,"sim","Amaryllidaceae","Griffinia gardneriana","EN"
53,"sim","Amaryllidaceae","Griffinia hyacinthina","EN"
54,"nao","Amaryllidaceae","Griffinia intermedia","EN"
55,"sim","Amaryllidaceae","Griffinia liboniana","EN"
56,"sim","Amaryllidaceae","Griffinia nocturna","CR"
57,"sim","Amaryllidaceae","Griffinia parviflora","CR"
58,"sim","Amaryllidaceae","Griffinia paubrasilica","CR"
59,"sim","Amaryllidaceae","Hippeastrum angustifolium","VU"
60,"sim","Amaryllidaceae","Hippeastrum brasilianum","EN"
61,"sim","Amaryllidaceae","Hippeastrum breviflorum","EN"
62,"sim","Amaryllidaceae","Hippeastrum leucobasis","CR"
63,"sim","Amaryllidaceae","Hippeastrum morelianum","VU"
64,"sim","Amaryllidaceae","Hippeastrum","CR"
65,"sim","Amaryllidaceae","Hippeastrum psittacinum","EN"
66,"sim","Amaryllidaceae","Hippeastrum","EN"
67,"sim","Amaryllidaceae","Hippeastrum santacatarina","EN"
68,"sim","Amaryllidaceae","Hippeastrum striatum","EN"
69,"sim","Amaryllidaceae","Hippeastrum vittatum","EN"
70,"sim","Amaryllidaceae","Worsleya procera","EN"
71,"sim","Amaryllidaceae","Zephyranthes blumenavia","EN"
72,"sim","Amaryllidaceae","Zephyranthes candida","EN"
73,"sim","Amaryllidaceae","Zephyranthes capivarina","VU"
74,"sim","Amaryllidaceae","Zephyranthes coerulea","VU"
75,"sim","Amaryllidaceae","Zephyranthes irwiniana","VU"
76,"sim","Amaryllidaceae","Zephyranthes paranaensis","EN"
77,"sim","Anacardiaceae","Astronium balansae","EN"
78,"nao","Anacardiaceae","Astronium glaziovii","EN"
79,"nao","Anacardiaceae","Astronium pumilum","VU"
80,"nao","Anacardiaceae","Campnosperma gummiferum","EN"
81,"sim","Anacardiaceae","Schinopsis balansae","EN"
82,"nao","Anacardiaceae","Schinus ramboi","EN"
83,"nao","Anacardiaceae","Spondias admirabilis","EN"
84,"nao","Anacardiaceae","Spondias bahiensis","EN"
85,"nao","Anacardiaceae","Thyrsodium bolivianum","EN"
86,"sim","Anemiaceae","Anemia blechnoides","VU"
87,"sim","Anemiaceae","Anemia dentata","VU"
88,"sim","Anemiaceae","Anemia gardneri","VU"
89,"sim","Anemiaceae","Anemia trichorhiza","VU"
90,"nao","Anisophylleaceae","Anisophyllea manausensis","VU"
91,"nao","Annonaceae","Annona angustifolia","EN"
92,"nao","Annonaceae","Annona ferruginea","CR"
93,"nao","Annonaceae","Annona gardneri","EN"
94,"sim","Annonaceae","Annona parviflora","VU"
95,"nao","Annonaceae","Bocagea viridis","VU"
96,"nao","Annonaceae","Cymbopetalum euneurum","EN"
97,"nao","Annonaceae","Duguetia bahiensis","VU"
98,"nao","Annonaceae","Duguetia duckei","EN"
99,"sim","Annonaceae","Duguetia magnolioidea","EN"
100,"nao","Annonaceae","Duguetia microphylla","EN"
101,"nao","Annonaceae","Duguetia pohliana","EN"
102,"sim","Annonaceae","Duguetia restingae","CR"
103,"nao","Annonaceae","Duguetia rotundifolia","VU"
104,"sim","Annonaceae","Duguetia scottmorii","EN"
105,"sim","Annonaceae","Duguetia sooretamae","EN"
106,"nao","Annonaceae","Duguetia subcordata","EN"
107,"nao","Annonaceae","Guatteria attenuata","CR"
108,"nao","Annonaceae","Guatteria hispida","EN"
109,"nao","Annonaceae","Guatteria latifolia","EN"
110,"nao","Annonaceae","Guatteria stenocarpa","EN"
111,"sim","Annonaceae","Hornschuchia alba","CR"
112,"sim","Annonaceae","Hornschuchia cauliflora","EN"
113,"nao","Annonaceae","Hornschuchia leptandra","EN"
114,"nao","Annonaceae","Hornschuchia lianarum","EN"
115,"nao","Annonaceae","Hornschuchia myrtillus","VU"
116,"sim","Annonaceae","Hornschuchia obliqua","EN"
117,"nao","Annonaceae","Hornschuchia santosii","EN"
118,"nao","Annonaceae","Oxandra unibracteata","CR"
119,"nao","Annonaceae","Pseudoxandra bahiensis","VU"
120,"nao","Annonaceae","Pseudoxandra spiritus-sancti","EN"
121,"sim","Annonaceae","Trigynaea axilliflora","EN"
122,"sim","Annonaceae","Trigynaea oblongifolia","EN"
123,"nao","Annonaceae","Unonopsis aurantiaca","EN"
124,"nao","Annonaceae","Unonopsis bauxitae","CR"
125,"sim","Annonaceae","Unonopsis riedeliana","EN"
126,"nao","Annonaceae","Unonopsis sanctae-teresae","CR"
127,"nao","Annonaceae","Xylopia atlantica","EN"
128,"nao","Annonaceae","Xylopia brasiliensis","VU"
129,"nao","Annonaceae","Xylopia decorticans","EN"
130,"nao","Annonaceae","Xylopia involucrata","VU"
131,"nao","Annonaceae","Xylopia trichostemon","VU"
132,"sim","Apiaceae","Eryngium corallinum","CR"
133,"sim","Apiaceae","Eryngium divaricatum","EN"
134,"sim","Apiaceae","Eryngium dorae","CR"
135,"sim","Apiaceae","Eryngium falcifolium","EN"
136,"nao","Apiaceae","Eryngium fluminense","VU"
137,"sim","Apiaceae","Eryngium koehneanum","VU"
138,"sim","Apiaceae","Eryngium ombrophilum","EN"
139,"sim","Apiaceae","Eryngium ramboanum","CR"
140,"sim","Apiaceae","Eryngium scirpinum","EN"
141,"sim","Apiaceae","Eryngium smithii","EN"
142,"sim","Apiaceae","Eryngium urbanianum","EN"
143,"sim","Apiaceae","Eryngium zosterifolium","VU"
144,"sim","Apiaceae","Klotzschia rhizophylla","EN"
145,"sim","Apiaceae","Lilaeopsis brasiliensis","VU"
146,"nao","Apocynaceae","Aspidosperma auriculatum","EN"
147,"nao","Apocynaceae","Aspidosperma castroanum","EN"
148,"nao","Apocynaceae","Aspidosperma confertiflorum","EN"
149,"nao","Apocynaceae","Aspidosperma formosanum","EN"
150,"nao","Apocynaceae","Aspidosperma huberianum","EN"
151,"nao","Apocynaceae","Aspidosperma nigricans","EN"
152,"nao","Apocynaceae","Aspidosperma obscurinervium","EN"
153,"nao","Apocynaceae","Aspidosperma occidentale","EN"
154,"nao","Apocynaceae","Aspidosperma oliganthum","EN"
155,"nao","Apocynaceae","Aspidosperma parvifolium","EN"
156,"nao","Apocynaceae","Aspidosperma rizzoanum","EN"
157,"nao","Apocynaceae","Aspidosperma salgadense","EN"
158,"nao","Apocynaceae","Aspidosperma thomasii","EN"
159,"sim","Apocynaceae","Ditassa auriflora","CR"
160,"sim","Apocynaceae","Ditassa cipoensis","EN"
161,"sim","Apocynaceae","Ditassa cordeiroana","EN"
162,"sim","Apocynaceae","Ditassa itambensis","EN"
163,"sim","Apocynaceae","Ditassa laevis","EN"
164,"sim","Apocynaceae","Ditassa leonii","VU"
165,"sim","Apocynaceae","Ditassa longisepala","EN"
166,"sim","Apocynaceae","Ditassa maricaensis","EN"
167,"sim","Apocynaceae","Ditassa melantha","EN"
168,"sim","Apocynaceae","Ditassa oberdanii","EN"
169,"sim","Apocynaceae","Gonolobus dorothyanus","EN"
170,"sim","Apocynaceae","Gyrostelma bornmuelleri","EN"
171,"sim","Apocynaceae","Gyrostelma oxypetaloides","EN"
172,"sim","Apocynaceae","Hemipogon abietoides","CR"
173,"sim","Apocynaceae","Hemipogon hatschbachii","CR"
174,"sim","Apocynaceae","Jobinia hatschbachii","EN"
175,"nao","Apocynaceae","Lacmellea bahiensis","EN"
176,"nao","Apocynaceae","Lacmellea pauciflora","EN"
177,"sim","Apocynaceae","Macroditassa marianae","CR"
178,"nao","Apocynaceae","Malouetia amazonica","EN"
179,"nao","Apocynaceae","Malouetia gracillima","EN"
180,"nao","Apocynaceae","Malouetia lata","EN"
181,"nao","Apocynaceae","Mandevilla crassinoda","EN"
182,"sim","Apocynaceae","Marsdenia otoniensis","CR"
183,"sim","Apocynaceae","Marsdenia queirozii","EN"
184,"sim","Apocynaceae","Matelea bahiensis","EN"
185,"sim","Apocynaceae","Matelea glaziovii","VU"
186,"sim","Apocynaceae","Matelea hatschbachii","EN"
187,"sim","Apocynaceae","Matelea marcoassisii","VU"
