"ID","lista_anterior","familia","especie","categoria","componente"
1,"sim","Acanthaceae","Aphelandra espirito-santensis","EN","Flora"
2,"sim","Acanthaceae","Aphelandra margaritae","VU","Flora"
3,"sim","Acanthaceae","Aphelandra maximiliana","EN","Flora"
4,"nao","Acanthaceae","Aphelandra rigida","EN","Flora"
5,"nao","Acanthaceae","Aphelandra stephanophysa","VU","Flora"
6,"sim","Acanthaceae","Dyschoriste lavandulacea","EN","Flora"
7,"sim","Acanthaceae","Dyschoriste smithii","CR","Flora"
8,"sim","Acanthaceae","Justicia clausseniana","EN","Flora"
9,"sim","Acanthaceae","Justicia genuflexa","VU","Flora"
10,"nao","Acanthaceae","Justicia meyeniana","EN","Flora"
11,"nao","Acanthaceae","Justicia nervata","EN","Flora"
12,"sim","Acanthaceae","Justicia polita","EN","Flora"
13,"sim","Acanthaceae","Justicia ramulosa","VU","Flora"
14,"sim","Acanthaceae","Justicia tijucensis","VU","Flora"
15,"sim","Acanthaceae","Odontonema dissitiflorum","EN","Flora"
16,"sim","Acanthaceae","Pachystachys dubiosa","EN","Flora"
17,"sim","Acanthaceae","Schaueria paranaensis","EN","Flora"
18,"sim","Acanthaceae","Staurogyne brachiata","EN","Flora"
19,"sim","Acanthaceae","Staurogyne elegans","VU","Flora"
20,"nao","Acanthaceae","Staurogyne euryphylla","EN","Flora"
21,"sim","Acanthaceae","Staurogyne itatiaiae","EN","Flora"
22,"sim","Acanthaceae","Staurogyne vauthieriana","EN","Flora"
23,"sim","Acanthaceae","Staurogyne veronicifolia","EN","Flora"
24,"sim","Acanthaceae","Staurogyne warmingiana","EN","Flora"
25,"sim","Acanthaceae","Stenandrium hatschbachii","EN","Flora"
26,"sim","Acanthaceae","Stenandrium stenophyllum","EN","Flora"
27,"nao","Achariaceae","Kuhlmanniodendron macrocarpum","EN","Flora"
28,"sim","Alismataceae","Sagittaria lancifolia","VU","Flora"
29,"sim","Alstroemeriaceae","Alstroemeria amabilis","EN","Flora"
30,"sim","Alstroemeriaceae","Alstroemeria brasiliensis","EN","Flora"
31,"sim","Alstroemeriaceae","Alstroemeria capixaba","CR","Flora"
32,"sim","Alstroemeriaceae","Alstroemeria caryophyllaea","EN","Flora"
33,"sim","Alstroemeriaceae","Alstroemeria malmeana","CR","Flora"
34,"sim","Alstroemeriaceae","Alstroemeria orchidioides","EN","Flora"
35,"sim","Alstroemeriaceae","Alstroemeria penduliflora","EN","Flora"
36,"sim","Amaranthaceae","Alternanthera hirtula","VU","Flora"
37,"sim","Amaranthaceae","Alternanthera januarensis","EN","Flora"
38,"sim","Amaranthaceae","Amaranthus rosengurtii","EN","Flora"
39,"sim","Amaranthaceae","Froelichiella grisea","EN","Flora"
40,"sim","Amaranthaceae","Gomphrena centrota","EN","Flora"
41,"sim","Amaranthaceae","Gomphrena hatschbachiana","EN","Flora"
42,"sim","Amaranthaceae","Gomphrena nigricans","CR","Flora"
43,"sim","Amaranthaceae","Gomphrena paranensis","VU","Flora"
44,"sim","Amaranthaceae","Gomphrena pulchella","EN","Flora"
45,"sim","Amaranthaceae","Gomphrena regeliana","VU","Flora"
46,"sim","Amaranthaceae","Pfaffia argyrea","EN","Flora"
47,"sim","Amaranthaceae","Pfaffia minarum","VU","Flora"
48,"sim","Amaranthaceae","Quaternella glabratoides","EN","Flora"
49,"sim","Amaryllidaceae","Griffinia aracensis","CR","Flora"
50,"sim","Amaryllidaceae","Griffinia colatinensis","CR","Flora"
51,"sim","Amaryllidaceae","Griffinia espiritensis","EN","Flora"
52,"sim","Amaryllidaceae","Griffinia gardneriana","EN","Flora"
53,"sim","Amaryllidaceae","Griffinia hyacinthina","EN","Flora"
54,"nao","Amaryllidaceae","Griffinia intermedia","EN","Flora"
55,"sim","Amaryllidaceae","Griffinia liboniana","EN","Flora"
56,"sim","Amaryllidaceae","Griffinia nocturna","CR","Flora"
57,"sim","Amaryllidaceae","Griffinia parviflora","CR","Flora"
58,"sim","Amaryllidaceae","Griffinia paubrasilica","CR","Flora"
59,"sim","Amaryllidaceae","Hippeastrum angustifolium","VU","Flora"
60,"sim","Amaryllidaceae","Hippeastrum brasilianum","EN","Flora"
61,"sim","Amaryllidaceae","Hippeastrum breviflorum","EN","Flora"
62,"sim","Amaryllidaceae","Hippeastrum leucobasis","CR","Flora"
63,"sim","Amaryllidaceae","Hippeastrum morelianum","VU","Flora"
64,"sim","Amaryllidaceae","Hippeastrum","CR","Flora"
65,"sim","Amaryllidaceae","Hippeastrum psittacinum","EN","Flora"
66,"sim","Amaryllidaceae","Hippeastrum","EN","Flora"
67,"sim","Amaryllidaceae","Hippeastrum santacatarina","EN","Flora"
68,"sim","Amaryllidaceae","Hippeastrum striatum","EN","Flora"
69,"sim","Amaryllidaceae","Hippeastrum vittatum","EN","Flora"
70,"sim","Amaryllidaceae","Worsleya procera","EN","Flora"
71,"sim","Amaryllidaceae","Zephyranthes blumenavia","EN","Flora"
72,"sim","Amaryllidaceae","Zephyranthes candida","EN","Flora"
73,"sim","Amaryllidaceae","Zephyranthes capivarina","VU","Flora"
74,"sim","Amaryllidaceae","Zephyranthes coerulea","VU","Flora"
75,"sim","Amaryllidaceae","Zephyranthes irwiniana","VU","Flora"
76,"sim","Amaryllidaceae","Zephyranthes paranaensis","EN","Flora"
77,"sim","Anacardiaceae","Astronium balansae","EN","Flora"
78,"nao","Anacardiaceae","Astronium glaziovii","EN","Flora"
79,"nao","Anacardiaceae","Astronium pumilum","VU","Flora"
80,"nao","Anacardiaceae","Campnosperma gummiferum","EN","Flora"
81,"sim","Anacardiaceae","Schinopsis balansae","EN","Flora"
82,"nao","Anacardiaceae","Schinus ramboi","EN","Flora"
83,"nao","Anacardiaceae","Spondias admirabilis","EN","Flora"
84,"nao","Anacardiaceae","Spondias bahiensis","EN","Flora"
85,"nao","Anacardiaceae","Thyrsodium bolivianum","EN","Flora"
86,"sim","Anemiaceae","Anemia blechnoides","VU","Flora"
87,"sim","Anemiaceae","Anemia dentata","VU","Flora"
88,"sim","Anemiaceae","Anemia gardneri","VU","Flora"
89,"sim","Anemiaceae","Anemia trichorhiza","VU","Flora"
90,"nao","Anisophylleaceae","Anisophyllea manausensis","VU","Flora"
91,"nao","Annonaceae","Annona angustifolia","EN","Flora"
92,"nao","Annonaceae","Annona ferruginea","CR","Flora"
93,"nao","Annonaceae","Annona gardneri","EN","Flora"
94,"sim","Annonaceae","Annona parviflora","VU","Flora"
95,"nao","Annonaceae","Bocagea viridis","VU","Flora"
96,"nao","Annonaceae","Cymbopetalum euneurum","EN","Flora"
97,"nao","Annonaceae","Duguetia bahiensis","VU","Flora"
98,"nao","Annonaceae","Duguetia duckei","EN","Flora"
99,"sim","Annonaceae","Duguetia magnolioidea","EN","Flora"
100,"nao","Annonaceae","Duguetia microphylla","EN","Flora"
101,"nao","Annonaceae","Duguetia pohliana","EN","Flora"
102,"sim","Annonaceae","Duguetia restingae","CR","Flora"
103,"nao","Annonaceae","Duguetia rotundifolia","VU","Flora"
104,"sim","Annonaceae","Duguetia scottmorii","EN","Flora"
105,"sim","Annonaceae","Duguetia sooretamae","EN","Flora"
106,"nao","Annonaceae","Duguetia subcordata","EN","Flora"
107,"nao","Annonaceae","Guatteria attenuata","CR","Flora"
108,"nao","Annonaceae","Guatteria hispida","EN","Flora"
109,"nao","Annonaceae","Guatteria latifolia","EN","Flora"
110,"nao","Annonaceae","Guatteria stenocarpa","EN","Flora"
111,"sim","Annonaceae","Hornschuchia alba","CR","Flora"
112,"sim","Annonaceae","Hornschuchia cauliflora","EN","Flora"
113,"nao","Annonaceae","Hornschuchia leptandra","EN","Flora"
114,"nao","Annonaceae","Hornschuchia lianarum","EN","Flora"
115,"nao","Annonaceae","Hornschuchia myrtillus","VU","Flora"
116,"sim","Annonaceae","Hornschuchia obliqua","EN","Flora"
117,"nao","Annonaceae","Hornschuchia santosii","EN","Flora"
118,"nao","Annonaceae","Oxandra unibracteata","CR","Flora"
119,"nao","Annonaceae","Pseudoxandra bahiensis","VU","Flora"
120,"nao","Annonaceae","Pseudoxandra spiritus-sancti","EN","Flora"
121,"sim","Annonaceae","Trigynaea axilliflora","EN","Flora"
122,"sim","Annonaceae","Trigynaea oblongifolia","EN","Flora"
123,"nao","Annonaceae","Unonopsis aurantiaca","EN","Flora"
124,"nao","Annonaceae","Unonopsis bauxitae","CR","Flora"
125,"sim","Annonaceae","Unonopsis riedeliana","EN","Flora"
126,"nao","Annonaceae","Unonopsis sanctae-teresae","CR","Flora"
127,"nao","Annonaceae","Xylopia atlantica","EN","Flora"
