especie
Charinus acaraje
Enyalius erythroceneus
Liolaemus arambarensis
Liolaemus lutzae
Liolaemus occipitalis
Brasiliscincus caissara
Homonota uruguayensis
Coleodactylus natalensis
Gonatodes tapajonicus
Ameiva parecis
Ameivula nativo
Contomastix vacariensis
Glaucomastix abaetensis
Glaucomastix littoralis
Kentropyx vanzoi
Tropidophis grapiuna
Eurolophosaurus amathites
Caretta caretta
Eretmochelys imbricata
Lepidochelys olivacea
Dermochelys coriacea
Amadonastur lacernulatus
Circus cinereus
Harpia harpyja
Leptodon forbesi
Morphnus guianensis
Urubitinga coronata
Mergus octosetaceus
Augastes lumachella
Campylopterus calcirupicola
Colibri delphinae greenewalti
Discosura langsdorffi langsdorffi
Glaucis dohrnii
Lophornis gouldii
Phaethornis aethopygus
Phaethornis major
Phaethornis margarettae
Thalurania watertonii
Hydropsalis candicans
Nyctiprogne vielliardi
Burhinus bistriatus
Charadrius wilsonia
Sterna dougallii
Sterna hirundinacea
Thalasseus acuflavidus
Thalasseus maximus
Calidris canutus
Calidris pusilla
Calidris subruficollis
