"X","X.","Família","Espécie.ou.Subespécie.Variedade","Categoria"
1,"*","Acanthaceae","Aphelandra espirito-santensis","EN"
2,"*","Acanthaceae","Aphelandra margaritae","VU"
3,"*","Acanthaceae","Aphelandra maximiliana","EN"
4,"","Acanthaceae","Aphelandra rigida","EN"
5,"","Acanthaceae","Aphelandra stephanophysa","VU"
6,"*","Acanthaceae","Dyschoriste lavandulacea","EN"
7,"*","Acanthaceae","Dyschoriste smithii","CR"
8,"*","Acanthaceae","Justicia clausseniana","EN"
9,"*","Acanthaceae","Justicia genuflexa","VU"
10,"","Acanthaceae","Justicia meyeniana","EN"
11,"","Acanthaceae","Justicia nervata","EN"
12,"*","Acanthaceae","Justicia polita","EN"
13,"*","Acanthaceae","Justicia ramulosa","VU"
14,"*","Acanthaceae","Justicia tijucensis","VU"
15,"*","Acanthaceae","Odontonema dissitiflorum","EN"
16,"*","Acanthaceae","Pachystachys dubiosa","EN"
17,"*","Acanthaceae","Schaueria paranaensis","EN"
18,"*","Acanthaceae","Staurogyne brachiata","EN"
19,"*","Acanthaceae","Staurogyne elegans","VU"
20,"","Acanthaceae","Staurogyne euryphylla","EN"
21,"*","Acanthaceae","Staurogyne itatiaiae","EN"
22,"*","Acanthaceae","Staurogyne vauthieriana","EN"
23,"*","Acanthaceae","Staurogyne veronicifolia","EN"
24,"*","Acanthaceae","Staurogyne warmingiana","EN"
25,"*","Acanthaceae","Stenandrium hatschbachii","EN"
26,"*","Acanthaceae","Stenandrium stenophyllum","EN"
27,"","Achariaceae","Kuhlmanniodendron macrocarpum","EN"
28,"*","Alismataceae","Sagittaria lancifolia","VU"
29,"*","Alstroemeriaceae","Alstroemeria amabilis","EN"
30,"*","Alstroemeriaceae","Alstroemeria brasiliensis","EN"
31,"*","Alstroemeriaceae","Alstroemeria capixaba","CR"
32,"*","Alstroemeriaceae","Alstroemeria caryophyllaea","EN"
33,"*","Alstroemeriaceae","Alstroemeria malmeana","CR"
34,"*","Alstroemeriaceae","Alstroemeria orchidioides","EN"
35,"*","Alstroemeriaceae","Alstroemeria penduliflora","EN"
37,"*","Amaranthaceae","Alternanthera januarensis","EN"
38,"*","Amaranthaceae","Amaranthus rosengurtii","EN"
39,"*","Amaranthaceae","Froelichiella grisea","EN"
40,"*","Amaranthaceae","Gomphrena centrota","EN"
41,"*","Amaranthaceae","Gomphrena hatschbachiana","EN"
42,"*","Amaranthaceae","Gomphrena nigricans","CR"
43,"*","Amaranthaceae","Gomphrena paranensis","VU"
44,"*","Amaranthaceae","Gomphrena pulchella","EN"
45,"*","Amaranthaceae","Gomphrena regeliana","VU"
46,"*","Amaranthaceae","Pfaffia argyrea","EN"
47,"*","Amaranthaceae","Pfaffia minarum","VU"
48,"*","Amaranthaceae","Quaternella glabratoides","EN"
49,"*","Amaryllidaceae","Griffinia aracensis","CR"
50,"*","Amaryllidaceae","Griffinia colatinensis","CR"
51,"*","Amaryllidaceae","Griffinia espiritensis","EN"
52,"*","Amaryllidaceae","Griffinia gardneriana","EN"
53,"*","Amaryllidaceae","Griffinia hyacinthina","EN"
54,"","Amaryllidaceae","Griffinia intermedia","EN"
55,"*","Amaryllidaceae","Griffinia liboniana","EN"
56,"*","Amaryllidaceae","Griffinia nocturna","CR"
57,"*","Amaryllidaceae","Griffinia parviflora","CR"
58,"*","Amaryllidaceae","Griffinia paubrasilica","CR"
59,"*","Amaryllidaceae","Hippeastrum angustifolium","VU"
60,"*","Amaryllidaceae","Hippeastrum brasilianum","EN"
61,"*","Amaryllidaceae","Hippeastrum breviflorum","EN"
62,"*","Amaryllidaceae","Hippeastrum leucobasis","CR"
63,"*","Amaryllidaceae","Hippeastrum morelianum","VU"
64,"*","Amaryllidaceae","Hippeastrum","CR"
65,"*","Amaryllidaceae","Hippeastrum psittacinum","EN"
66,"*","Amaryllidaceae","Hippeastrum","EN"
67,"*","Amaryllidaceae","Hippeastrum santacatarina","EN"
68,"*","Amaryllidaceae","Hippeastrum striatum","EN"
69,"*","Amaryllidaceae","Hippeastrum vittatum","EN"
70,"*","Amaryllidaceae","Worsleya procera","EN"
71,"*","Amaryllidaceae","Zephyranthes blumenavia","EN"
72,"*","Amaryllidaceae","Zephyranthes candida","EN"
73,"*","Amaryllidaceae","Zephyranthes capivarina","VU"
74,"*","Amaryllidaceae","Zephyranthes coerulea","VU"
75,"*","Amaryllidaceae","Zephyranthes irwiniana","VU"
76,"*","Amaryllidaceae","Zephyranthes paranaensis","EN"
78,"","Anacardiaceae","Astronium glaziovii","EN"
79,"","Anacardiaceae","Astronium pumilum","VU"
80,"","Anacardiaceae","Campnosperma gummiferum","EN"
81,"*","Anacardiaceae","Schinopsis balansae","EN"
82,"","Anacardiaceae","Schinus ramboi","EN"
83,"","Anacardiaceae","Spondias admirabilis","EN"
84,"","Anacardiaceae","Spondias bahiensis","EN"
85,"","Anacardiaceae","Thyrsodium bolivianum","EN"
86,"*","Anemiaceae","Anemia blechnoides","VU"
87,"*","Anemiaceae","Anemia dentata","VU"
88,"*","Anemiaceae","Anemia gardneri","VU"
89,"*","Anemiaceae","Anemia trichorhiza","VU"
