"ID","lista_anterior","ordem","familia","especie","categoria"
"ANEXO 3. Atualiza o teor dos ANEXOS I e II da Portaria nº 445, de 17 de dezembro de 2014.","ANEXO 3. Atualiza o teor dos ANEXOS I e II da Portaria nº 445, de 17 de dezembro de 2014.","ANEXO 3. Atualiza o teor dos ANEXOS I e II da Portaria nº 445, de 17 de dezembro de 2014.","ANEXO 3. Atualiza o teor dos ANEXOS I e II da Portaria nº 445, de 17 de dezembro de 2014.","ANEXO 3. Atualiza o teor dos ANEXOS I e II da Portaria nº 445, de 17 de dezembro de 2014.","ANEXO 3. Atualiza o teor dos ANEXOS I e II da Portaria nº 445, de 17 de dezembro de 2014."
"ANEXO I. LISTA OFICIAL DA FAUNA BRASILEIRA AMEAÇADA DE EXTINÇÃO","ANEXO I. LISTA OFICIAL DA FAUNA BRASILEIRA AMEAÇADA DE EXTINÇÃO","ANEXO I. LISTA OFICIAL DA FAUNA BRASILEIRA AMEAÇADA DE EXTINÇÃO","ANEXO I. LISTA OFICIAL DA FAUNA BRASILEIRA AMEAÇADA DE EXTINÇÃO","ANEXO I. LISTA OFICIAL DA FAUNA BRASILEIRA AMEAÇADA DE EXTINÇÃO","ANEXO I. LISTA OFICIAL DA FAUNA BRASILEIRA AMEAÇADA DE EXTINÇÃO"
"","#","Ordem","Família","Espécie ou Subespécie","Categoria"
"","","INVERTEBRADOS AQUÁTICOS","INVERTEBRADOS AQUÁTICOS","INVERTEBRADOS AQUÁTICOS",""
"1","","Amphipoda","Artesiidae","Spelaeogammarus bahiensis","VU"
"2","","Amphipoda","Artesiidae","Spelaeogammarus sanctus","CR"
"3","","Amphipoda","Artesiidae","Spelaeogammarus santanensis","CR"
"4","","Amphipoda","Artesiidae","Spelaeogammarus spinilacertus","EN"
"5","","Amphipoda","Artesiidae","Spelaeogammarus titan","CR"
"6","","Amphipoda","Bogidiellidae","Megagidiella azul","VU"
"7","","Amphipoda","Dogielinotidae","Hyalella caeca","VU"
"8","","Amphipoda","Hyalellidae","Hyalella epikarstica","CR"
"9","","Amphipoda","Hyalellidae","Hyalella formosa","CR"
