"ID","lista_anterior","ordem","familia","especie","categoria"
"ANEXO 2. Atualiza o teor dos ANEXOS I e II da Portaria nº 444, de 17 de dezembro de 2014.","ANEXO 2. Atualiza o teor dos ANEXOS I e II da Portaria nº 444, de 17 de dezembro de 2014.","ANEXO 2. Atualiza o teor dos ANEXOS I e II da Portaria nº 444, de 17 de dezembro de 2014.","ANEXO 2. Atualiza o teor dos ANEXOS I e II da Portaria nº 444, de 17 de dezembro de 2014.","ANEXO 2. Atualiza o teor dos ANEXOS I e II da Portaria nº 444, de 17 de dezembro de 2014.","ANEXO 2. Atualiza o teor dos ANEXOS I e II da Portaria nº 444, de 17 de dezembro de 2014."
"ANEXO I. LISTA OFICIAL DA FAUNA BRASILEIRA AMEAÇADA DE EXTINÇÃO","ANEXO I. LISTA OFICIAL DA FAUNA BRASILEIRA AMEAÇADA DE EXTINÇÃO","ANEXO I. LISTA OFICIAL DA FAUNA BRASILEIRA AMEAÇADA DE EXTINÇÃO","ANEXO I. LISTA OFICIAL DA FAUNA BRASILEIRA AMEAÇADA DE EXTINÇÃO","ANEXO I. LISTA OFICIAL DA FAUNA BRASILEIRA AMEAÇADA DE EXTINÇÃO","ANEXO I. LISTA OFICIAL DA FAUNA BRASILEIRA AMEAÇADA DE EXTINÇÃO"
"","#","Ordem","Família","Espécie ou Subespécie","Categoria"
"","","INVERTEBRADOS TERRESTRES","INVERTEBRADOS TERRESTRES","INVERTEBRADOS TERRESTRES",""
"1","*","Amblypygi","Charinidae","Charinus acaraje","VU"
"2","*","Amblypygi","Charinidae","Charinus asturius","EN"
"3","","Amblypygi","Charinidae","Charinus caatingae","CR"
"4","*","Amblypygi","Charinidae","Charinus eleonorae","EN"
"5","","Amblypygi","Charinidae","Charinus ferreus","CR"
"6","*","Amblypygi","Charinidae","Charinus potiguar","VU"
"7","","Amblypygi","Charinidae","Charinus spelaeus","VU"
"8","","Amblypygi","Charinidae","Charinus taboa","CR"
"9","*","Amblypygi","Charinidae","Charinus troglobius","EN"
"10","","Araneae","Caponiidae","Carajas paraua","EN"
"11","","Araneae","Caponiidae","Tisentnops onix","CR"
"12","*","Araneae","Corinnidae","Ianduba paubrasil","EN"
"13","*","Araneae","Ctenidae","Celaetycheus mungunza","CR"
"14","*","Araneae","Ctenidae","Isoctenus corymbus","CR"
"15","*","Araneae","Dipluridae","Harmonicon cerberus","CR"
"16","*","Araneae","Drymusidae","Drymusa spelunca","CR"
"17","*","Araneae","Gnaphosidae","Brasilomma enigmatica","EN"
"18","*","Araneae","Gnaphosidae","Tricongius ybyguara","VU"
"19","*","Araneae","Ochyroceratidae","Ochyrocera ibitipoca","EN"
"20","*","Araneae","Ochyroceratidae","Speocera eleonorae","EN"
"21","*","Araneae","Pholcidae","Metagonia diamantina","CR"
"22","*","Araneae","Pholcidae","Metagonia potiguar","CR"
"23","*","Araneae","Salticidae","Matagaia chromatopus","VU"
"24","*","Araneae","Salticidae","Neonella noronha","VU"
"25","","Araneae","Segestriidae","Ariadna aurea","VU"
"26","","Araneae","Sicariidae","Loxosceles troglobia","VU"
"27","*","Araneae","Theraphosidae","Dolichothele diamantinensis","EN"
"28","*","Araneae","Theraphosidae","Pterinopelma sazimai","VU"
"29","*","Araneae","Theraphosidae","Tmesiphantes hypogeus","CR"
"30","*","Araneae","Theraphosidae","Typhochlaena curumim","CR"
"31","*","Araneae","Theraphosidae","Typhochlaena seladonia","EN"
"32","*","Araneae","Theraphosidae","Ybyrapora diversipes","EN"
"33","*","Araneae","Theraphosidae","Ybyrapora gamba","CR"
"34","","Blattodea","Blattellidae","Litoblatta camargoi","EN"
"35","*","Caenogastropoda","Ampullariidae","Pomacea sordida","EN"
"36","*","Caenogastropoda","Hydrobiidae","Potamolithus karsticus","CR"
"37","","Coleoptera","Carabidae","Coarazuphium amazonicus","CR"
"38","*","Coleoptera","Carabidae","Coarazuphium caatinga","EN"
"39","*","Coleoptera","Carabidae","Coarazuphium cessaima","EN"
"40","*","Coleoptera","Carabidae","Coarazuphium formoso","CR"
"41","*","Coleoptera","Carabidae","Coarazuphium pains","EN"
"42","*","Coleoptera","Carabidae","Coarazuphium ricardoi","CR"
"43","","Coleoptera","Carabidae","Coarazuphium spinifemur","CR"
"44","*","Coleoptera","Carabidae","Coarazuphium tapiaguassu","EN"
"45","*","Coleoptera","Carabidae","Coarazuphium tessai","CR"
"46","*","Coleoptera","Carabidae","Schizogenius ocellatus","EN"
"47","*","Coleoptera","Ciidae","Ceracis cassumbensis","EN"
"48","*","Coleoptera","Lampyridae","Amydetes bellorum","EN"
"49","*","Coleoptera","Lucanidae","Altitatiayus campoi","VU"
"50","*","Coleoptera","Lucanidae","Altitatiayus dulceae","VU"
"51","*","Coleoptera","Lucanidae","Altitatiayus godinhorum","VU"
"52","*","Coleoptera","Lucanidae","Altitatiayus koikei","VU"
"53","*","Coleoptera","Lucanidae","Altitatiayus rotundatus","VU"
"54","*","Coleoptera","Lucanidae","Altitatiayus ruficollis","VU"
"55","*","Coleoptera","Lucanidae","Altitatiayus trifurcatus","VU"
"56","*","Coleoptera","Lycidae","Cartagonum apiuba","CR"
"57","*","Coleoptera","Lycidae","Lycomorphon brasiliense","CR"
"58","*","Coleoptera","Scarabaeidae","Ateuchus squalidus","VU"
"59","*","Coleoptera","Scarabaeidae","Canthon corpulentus","VU"
"60","*","Coleoptera","Scarabaeidae","Canthon quadripunctatus","VU"
"61","*","Coleoptera","Scarabaeidae","Dichotomius eucranioides","EN"
"62","*","Coleoptera","Scarabaeidae","Dichotomius mysticus","EN"
"63","*","Coleoptera","Scarabaeidae","Dichotomius schiffleri","EN"
"64","*","Coleoptera","Scarabaeidae","Pedaridium hirsutum","VU"
"65","","Coleoptera","Staphylinidae","Metopiellus painensis","EN"
"66","*","Coleoptera","Vesperidae","Hypocephalus armatus","VU"
"67","*","Collembola","Arrhopalitidae","Arrhopalites amorimi","VU"
"68","","Collembola","Arrhopalitidae","Arrhopalites glabrofasciatus","EN"
"69","","Collembola","Entomobryidae","Pseudosinella ambigua","VU"
"70","","Collembola","Entomobryidae","Pseudosinella guanhaensis","CR"
"71","","Collembola","Isotomidae","Archisotoma arariboia","CR"
"72","*","Collembola","Paronellidae","Troglobius brasiliensis","CR"
"73","*","Collembola","Paronellidae","Troglobius ferroicus","CR"
"74","*","Collembola","Paronellidae","Trogolaphysa aelleni","CR"
"75","*","Collembola","Sminthuridae","Pararrhopalites papaveroi","EN"
"76","","Collembola","Sminthuridae","Pararrhopalites sideroicus","CR"
"77","","Collembola","Sminthuridae","Pararrhopalites ubiquum","VU"
"78","*","Collembola","Sminthuridae","Pararrhopalites wallacei","CR"
